hotel name,rating,actions,rating,additional information,hotel name,address,additional information,additional informations,additional  information,additional informations,additional informations,check-in hours,additional information,guest ratings,rating,rating,address,description,City
Hotel Royal Court - Priceline.com,1 / 95,See All 95 Photos,8.8,95 photos,Hotel Royal Court,"Via Marghera 51, Rome, Italy - Coliseum - Termini Station",Process in place to check health of guests             First aid kit available,Bike tours,,Snack bar,Bar,,"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Please note that the hotel does not accept Visa Electron to guarantee reservations. For reservations of 3 or more rooms, a deposit is required and the standard cancellation policy does not apply. All reservations have to be guaranteed with a credit card held by the guest. If the credit card used to guarantee the reservation is in a different person's name the reservation will be not accepted.",1025 Verified Guest Ratings,8.1,8.8,"Via Marghera 51, Rome, Italy",Discover Rome,Coliseum - Termini Station
Idea Hotel Milano San Siro - Priceline.com,1 / 47,See All 47 Photos,,,Idea Hotel Milano San Siro,,"All plates, cutlery, glasses and other tableware have been sanitized             Hand sanitizer in guest accommodation and key areas             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Contactless check-in/out             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Daily disinfection             Professional cleaning services",Snack bar,Bar,CCTV security in common areas,,(17),"In accordance with government guidelines to minimize transmission of the coronavirus (COVID-19), this property currently isn't accepting guests from certain countries on dates where such guidelines exist. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Food and beverage services at this property may be limited or unavailable due to the coronavirus (COVID-19). As a result of the coronavirus (COVID-19), this property has temporarily suspended its shuttle services. Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. In accordance with government guidelines to minimize transmission of the coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary, and other relevant info on dates where such guidelines exist. Due to coronavirus (COVID-19), this property adheres to strict physical distancing measures. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. Due to COVID-19 restrictions, the shuttle service to the San Siro M5 Metro Station is temporarily suspended. Transfers to Malpensa, Bergamo and Linate Airports are available on request and at extra cost. Please note the restaurant is closed on Sunday. Guests using a GPS device can use the following address: Via Enrico Fermi 1, Settimo Milanese. Please note that children whose travel documents are attached to the parent's passport, must be accompanied by said parent. Please note that the property can only allow pets with a maximum weight of 10 kilos",11154 Verified Guest Ratings,6.1,7.3,"Via Gaetano Airaghi 125, Milan, Italy",Discover Milan,West Milan
UNAHOTELS Galles Milano - Priceline.com,1 / 56,See All 56 Photos,9.1,56 photos,UNAHOTELS Galles Milano,"Piazza Lima 2, Milan, Italy - Buenos Aires - Viale Monza - Universities",Process in place to check health of guests             First aid kit available             Access to health care professionals,"All plates, cutlery, glasses and other tableware have been sanitized",Hand sanitizer in guest accommodation and key areas,Food delivery,Snack bar,(7),"If you require an invoice when booking a prepaid rate, write this and your company details in the Special Requests box. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Parking is subject to availability due to limited spaces. In the event of no-show for nonrefundable bookings, the hotel will keep the room until 12:00 of the day after the arrival. After this your room will be canceled and you will lose the total amount of the original booked stay. Children under 18 must be accompanied by their parents or by a legal guardian. If accompanied by a third person this should show a signed consent form by the parents. Please note that cash payments of EUR 1.999 or above are not permitted under current Italian law. When booked directly at check-in, breakfast costs EUR 14 per person per day. The credit card that has been used to book a nonrefundable rate needs to be presented upon check-in. In case the credit card owner is not traveling with you, you are required to show a copy of his/her credit card and identification document.",6276 Verified Guest Ratings,8.3,9.1,"Piazza Lima 2, Milan, Italy",Discover Milan,Buenos Aires - Viale Monza - Universities
Trevi Collection - Priceline.com,1 / 50,See All 50 Photos,9.5,50 photos,Trevi Collection,"Via Gregoriana 56, Rome, Italy - Spanish Steps - Trevi Fountain",Snack bar             Bar             Coffee shop             Fruits             Wine/champagne             Restaurant (special diets available),CCTV security in common areas,,Daily housekeeping,Tour services,,"In the event of early departure, 100 percent of the first night will be charged.",923 Verified Guest Ratings,8.0,8.5,"Via Gregoriana 56, Rome, Italy",Discover Rome,Spanish Steps - Trevi Fountain
Sofitel Rome Villa Borghese - Priceline.com,1 / 187,See All 187 Photos,9.2,187 photos,Sofitel Rome Villa Borghese,"Via Lombardia 47, Rome, Italy - Veneto - Villa Borghese","Free face masks             Body thermometer available             Physical/social distancing guidelines             Contactless check-in/out             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Hand sanitizer in guest accommodation and key areas             Sterilizing equipment             Staff trained in safety protocol             Protective screen or physical barriers in appropriate areas             Hygiene certification             Daily disinfection             Professional cleaning services",French,Spanish,Designated smoking area,Laundry services,(48),"In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Food and beverage services at this property may be limited or unavailable due to the coronavirus (COVID-19). When booking a Non-Refundable Rate, please note that the credit card used for the booking must be shown at check-in. Otherwise payment will be requested by another means, and the original card used for the booking will be re-credited. If the name on the credit card used for the booking does not correspond to the guest staying at the property, a third-party authorization by the cardholder must be submitted at the property.",500 Verified Guest Ratings,8.7,,"Via Lombardia 47, Rome, Italy",Discover Rome,
Sonder Park House - Priceline.com,1 / 31,See All 31 Photos,9.2,31 photos,Sonder Park House,,Air conditioning             Balcony/terrace,24-hour front desk,Elevator,Cashless payment available,Invoices,,"Payment before arrival by bank transfer is required. The property will contact you after you book to provide instructions. Please inform Sonder Park House of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. After confirmation, Sonder will reach out to guests through a secure link to gather some information regarding their stay. Sonder may require the guest to provide a photo of their government issued photo ID. Guests will receive check in details from property management three days prior to arrival. Please note the layout, furniture, and decor of your space may vary from these photos. Room service is unavailable. Stairs are required to enter this property. This property is nearby construction and guests may experience noise. Some rooms have private bathrooms without a door. Sonder offers all guests the ability to book housekeeping services on demand for a nominal fee. This ensures you can enjoy an uninterrupted and environmentally sustainable stay. Housekeeping services must be scheduled via the Sonder app, 24 hours in advance.",2960 Verified Guest Ratings,7.6,8.7,"53 Vossiusstraat, Amsterdam, Netherlands",Discover Amsterdam,Museum Quarter - Vondelpark
Inntel Hotels Amsterdam Centre - Priceline.com,1 / 44,See All 44 Photos,9.4,44 photos,Inntel Hotels Amsterdam Centre,"Nieuwezijdskolk 19, Amsterdam, Netherlands - Royal Palaca - Central Station - Dam Square",Food delivery             Takeout dining services available             Bar             Wine/champagne             Vending machine             Fruits             1 Restaurant(s)             1 Restaurant (special diets available),Ironing amenities,Fire extinguishers,Cashless payment available,Laundry services,(1),"Guests under the age of 18 can only check in with a parent or official guardian. Public parking is available in Q-Park Nieuwendijk from €27,50 per 24 hrs or in Q-Park Central Station from €32.50 per 24 hrs. The discounted rate per 24 hours is only available for guests who stay maximum 5 nights in a row. After this period, the normal rate applies. Please note that when booking a rate where payment is due before arrival, Inntel Hotels Amsterdam Centre will provide detailed payment instructions, for example a link to a secured payment platform.",5171 Verified Guest Ratings,8.2,8.7,"Nieuwezijdskolk 19, Amsterdam, Netherlands",Discover Amsterdam,Royal Palaca - Central Station - Dam Square
Olympic Hotel - Priceline.com,1 / 58,See All 58 Photos,8.8,58 photos,Olympic Hotel,"12 Ijsbaanpad, Amsterdam, Netherlands - Amsterdam, Netherlands","Free face masks             All plates, cutlery, glasses and other tableware have been sanitized             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Staff follow all safety protocols as directed by local authorities             Daily disinfection",Sun deck,Cycling,CCTV security in common areas,24-hour security,(16),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Food and beverage services at this property may be limited or unavailable due to the coronavirus (COVID-19). Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Due to coronavirus (COVID-19), this property adheres to strict physical distancing measures. Due to the coronavirus (COVID-19), make sure you're booking this property in accordance with the destination's local government guidelines, including (but not limited to) the purpose of travel and maximum group size. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. A damage deposit of EUR 250 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. Please note that different policies apply for group bookings of 8 rooms or more. Please note that the hotel will pre-authorize the credit card with the amount of the first night.",8715 Verified Guest Ratings,8.5,8.7,"12 Ijsbaanpad, Amsterdam, Netherlands",Discover Amsterdam,"Amsterdam, Netherlands"
Sonder Missori - Priceline.com,1 / 30,See All 30 Photos,9.3,30 photos,Sonder Missori,,Air conditioning,Cashless payment available,Invoices,Elevator,Non-smoking property,,"Payment before arrival by bank transfer is required. The property will contact you after you book to provide instructions. Please inform Sonder Missori of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. After confirmation, Sonder will reach out to guests through a secure link to gather some information regarding their stay. Sonder may require the guest to provide a photo of their government issued photo ID. Guests will receive check in details from property management three days prior to arrival. Due to local regulations, guests at this Sonder will be asked to provide information of each person in their party, as well as their passport or other identification in order to access the apartment. For further information please contact us at your convenience. Please reach out to Sonder to schedule your video call check in from 4PM to 11PM. Please note the layout, furniture, and decor of your space may vary from these photos. This property is in a limited traffic zone so guests must purchase a ticket to drive in this area. The lower floors may be prone to noise. Some spaces are located on the ground floor. Breakfast is available for purchase at the front desk.",1192 Verified Guest Ratings,8.5,9.3,"11/A Corso Italia, Milan, Italy",Discover Milan,City Center - Old Town - Duomo - La Scala
Hotel Estheréa - Priceline.com,1 / 42,See All 42 Photos,9.7,42 photos,Hotel Estheréa,"Singel 303 - 309, Amsterdam, Netherlands - Royal Palaca - Central Station - Dam Square",Process in place to check health of guests             First aid kit available,Food delivery,Bar,Parking available,Car rental available,(24),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. A damage deposit of EUR 100 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. Please note that extra beds are subject to availability and need to be confirmed by the hotel. Guests are kindly requested to inform the hotel when traveling with children. Please note that the car park only provides space for cars within the following measurements: max. size H 1950mm x W 2050mm x L 5100mm, max. weight 2000 kg. The costs are EUR 55 per day. Please note that an authorization is made on your credit card for the amount of the entire stay and for any incidentals upon arrival. This cost is EUR 70 for the first day and EUR 50 for any day following. The hotel will pre-authorize the credit card with the amount of the first night prior to arrival.",4405 Verified Guest Ratings,9.1,9.7,"Singel 303 - 309, Amsterdam, Netherlands",Discover Amsterdam,Royal Palaca - Central Station - Dam Square
