case,p,r,f1,tp,tn,fp,fn
case1,0.8244897959183674,0.8096192384769539,0.8169868554095046,404,67,86,95
case2,0.8550458715596331,0.8775894538606404,0.866171003717472,466,31,79,65
case2c,0.7583025830258303,0.8580375782881002,0.8050930460333008,411,31,131,68
case3,0.8216123499142367,0.9037735849056604,0.8607367475292003,479,11,104,51
case3c,0.7562724014336918,0.8978723404255319,0.821011673151751,422,10,136,48
case3bis,0.8562300319488818,0.5982142857142857,0.7043363994743759,268,159,45,180
case4,0.8304498269896193,0.9230769230769231,0.8743169398907104,480,20,98,40
case4c,0.7737478411053541,0.919917864476386,0.8405253283302063,448,20,131,39
