Book Title,Book Title,Author,Book Title,Price,Price,Seller,Category,Pages,Price,Book Description,Book Description,Author,Book Title,Book Description,Book Title,Pages,Price,Price,Price,Book Title,Book Title,Date of publication,Price,Price,Book Title
La Repubblica dell’immaginazione - Azar Nafisi,La Repubblica dell’immaginazione,Azar Nafisi,"Illustrazioni di Peter Sís   Traduzione di Mariagrazia Gini    gli Adelphi  , 674   2023, pp. 331   isbn: 9788845938207","€ 14,00","€ 13,30","1997 carl hanser verlag gmbh & co.kg, münchen",Letteratura nordamericana         Critica e storia letteraria,2015 / pp. 288 /,"€ 19,00      € 15,20","Celebre per il seminario clandestino nel quale, durante il governo degli ayatollah, insegnava alle sue migliori allieve dell’Università di Teheran i grandi autori di lingua inglese, Azar Nafisi, oggi cittadina americana, ci parla del valore inestimabile della letteratura «in una società che sembra concedere tutte le libertà»: anche qui, infatti, ha bisogno di essere difesa, diffusa e studiata strenuamente, quale vero antidoto alla «pigrizia dell’intelletto». L’interpretazione di tre classici –  Huckleberry Finn  ,  Babbitt  e  Il cuore è un cacciatore solitario  –, intessuta, come in  Leggere Lolita a Teheran  , di frammenti autobiografici, trasmette così una visione della letteratura come rifugio e al tempo stesso come mezzo di eversione pubblica e privata. E come sogno, condiviso, nella Repubblica dell’immaginazione, da quei lettori che non conoscono frontiere o libri proibiti e che sanno apprezzare le parole di Francis Scott Fitzgerald: «Spingi la sedia sull’orlo del precipizio e ti racconterò una storia».",Un inno alla letteratura come necessità primaria in qualunque genere di società.,Azar Nafisi,Quell'altro mondo,"Esiliata in patria, prigioniera di un regime totalitario, lacerata da un sentimento di irrealtà, abbandono e isolamento, Azar Nafisi non poteva che tornare all’amato Nabokov.","La collana dei casi, 144",2022 / pp. 448 /,"€ 26,00","€ 20,80","€ 12,99",BiBi e la voce verde,"i cavoli a merenda, 18",2006 / pp. 52 /,"€ 18,00","€ 14,40","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva."
L’eternità viene dagli astri - Auguste Blanqui,L’eternità viene dagli astri,Auguste Blanqui,"Traduzione di Raffaele Fragola   Con un saggio di Ottavio Fatica    Piccola Biblioteca Adelphi  , 796   2023, pp. 132   isbn: 9788845938108","€ 13,00","€ 12,35",,Cosmologia         Filosofia,2023 / pp. 132 /,"€ 6,99","Nel 1871 Auguste Blanqui, «l’eterno cospiratore», sta scontando l’ennesima pena detentiva di una vita trascorsa per metà in carcere. Questa volta, per impedirgli qualsiasi contatto con la Comune che sta infiammando Parigi, lo hanno trasferito nel remoto Fort du Taureau, in Bretagna, dove è sottoposto a una reclusione tra le più dure, in totale isolamento. E tuttavia, pur in condizioni estreme, Blanqui riesce a scrivere e a far arrivare all’esterno, eludendo la censura, il testo di quello che sarà il suo primo libro, pubblicato l’anno successivo a Parigi. Ci si aspetterebbe, dall’ormai vecchio rivoluzionario, un pamphlet politico. E invece quello che Blanqui ha meticolosamente composto nella sua cella è un visionario trattato di «astronomia metafisica», uno scritto insieme scientifico, poetico e filosofico, che avanza un’ipotesi vertiginosa: «Ogni astro, qualunque esso sia, esiste dunque in numero infinito nel tempo e nello spazio, non soltanto sotto uno dei suoi aspetti, ma quale si trova in ognuno degli istanti della sua vita, dalla nascita sino alla morte. Tutti gli esseri distribuiti sulla sua superficie, grandi o piccoli, viventi o inanimati, condividono il privilegio di questa perennità». Ogni uomo, così, «possiede nello spazio un numero infinito di doppi che vivono una vita tale e quale la sua». Il lettore rimarrà sbalordito nel constatare, come già fecero Benjamin e Borges, che questo piccolo libro anticipava i concetti alla base dell’eterno ritorno di Nietzsche, ma in una dimensione, notava ancora Benjamin, di malinconia baudelairiana. Perché nel ‘multiverso’ di Blanqui – vicino a quello di certe attuali teorie cosmologiche – ogni prospettiva di «progresso» fatalmente si rivela illusoria.    Traduzione di Raffaele Fragola.   Con un saggio di Ottavio Fatica.",«Una scoperta rara» (Walter Benjamin).,,,,,,,,,,,,,,
I misteri del Grand-Saint-Georges. e altri racconti - Georges Simenon,I misteri del Grand-Saint-Georges,Georges Simenon,"Traduzioni di Marina Di Leo, Laura Frausin Guarino e Ena Marchi    gli Adelphi  , 673   2023, pp. 132   isbn: 9788845938191","€ 12,00","€ 11,40","courtesy national gallery of art, washington",Letteratura francese,2023 / pp. 132 /,"€ 5,99",,Simenon torna sul luogo del delitto... e cambia il finale.,Georges Simenon,L’America in automobile,"Come gli americani, diventati ormai «tutt’uno» con la loro auto, Simenon attraversa gli Stati Uniti – e ci offre della sua nuova patria un’immagine intima e ancora oggi affascinante.","Piccola Biblioteca Adelphi, 797",2023 / pp. 185 /,"€ 16,00","€ 15,20","€ 8,99",Le persiane verdi,"gli Adelphi, 663",2023 / pp. 208 /,"€ 12,00","€ 9,60","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva."
Tentazione - János Székely,Tentazione,János Székely,"Traduzione di Vera Gheno    gli Adelphi  , 671   2023, pp. 787   isbn: 9788845938030","€ 16,00","€ 15,20",alfred eisenstaedt/ullstein bild via getty images,Letteratura mitteleuropea,2009 / pp. 677 /,"€ 25,00      € 20,00","«Un capolavoro fagocitato dalla storia, dove un bambino nato sotto una cattiva stella insegue ardito la sua fortuna».   Natalia Aspesi      Tentazione  è stato definito dai critici americani «a mix of Charles Dickens and Vicki Baum»: come dire, un po’  Oliver Twist  , un po’  Grand Hotel  . In realtà, tutto quello che potrebbe esserci di patetico nell’infanzia del piccolo Béla, abbandonato dalla madre nelle grinfie di un’orribile virago, è costantemente contraddetto dal tono del narratore, la cui ironia non viene meno neanche nei momenti più difficili. E quando infine, a quattordici anni, Béla raggiungerà la madre, anche sopravvivere nella Budapest degli anni Venti, e poi degli anni Trenta, si rivelerà un’impresa quasi disperata. Tanto più che dovrà continuamente barcamenarsi fra due mondi opposti: l’insanabile miseria del quartiere in cui abita e il lusso sfrenato del grande albergo sfavillante di luci in cui riesce a trovar lavoro. Nell’uno e nell’altro Béla incrocerà, in una vertiginosa girandola di storie, uomini e donne che della vita gli riveleranno gli aspetti più sconcertanti e scabrosi, e conoscerà la tenerezza e la passione, l’amicizia e la generosità – l’abiezione e il tradimento, la caduta e il riscatto.","«Un capolavoro fagocitato dalla storia, dove un bambino nato sotto una cattiva stella insegue ardito la sua fortuna» (Na­talia Aspesi).",,,,,,,,,,,,,,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva."
L’arte del romanzo - Milan Kundera,L’arte del romanzo,Milan Kundera,"Traduzione di Ena Marchi    gli Adelphi  , 678   2023, pp. 168   isbn: 9788845938443","€ 12,00","€ 11,40",ladislav novák by siae 2023,Critica e storia letteraria         Letteratura francese,1988 / pp. 228 /,"€ 14,00      € 11,20","In sette testi relativamente indipendenti ma collegati come altrettante tappe di un unico saggio, Kundera ci parla di quella creatura singolare, imprevedibile, grandiosa e delicata che è il romanzo europeo («arte nata come eco della risata di Dio»). Il suo discorso scavalca con sicurezza ogni pretesa di rigido inquadramento teorico e si dedica invece a un’analisi amorosa di ciò che il romanzo, creatura polimorfa, diventa nelle mani di scrittori così diversi come Kafka e Cervantes, Broch e Tolstoj, Gombrowicz e Flaubert, Diderot e Musil, Rabelais e Sterne – e infine Kundera: perché qui si troveranno i due testi dove ha detto l’essenziale per chi vuole accedere al segreto dei suoi stessi romanzi.","«... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).",Milan Kundera,Un Occidente prigioniero,Due interventi esplosivi sulla forza rivoluzionaria della cultura.,"Piccola Biblioteca Adelphi, 776",2022 / pp. 85 /,"€ 12,00","€ 9,60","€ 6,99",Il sipario,"Biblioteca Adelphi, 472",2005 / pp. 183 /,"€ 15,00",,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Star. Una cinciallegra di genio - Len Howard,Star,Len Howard,"Traduzione di Valentina Marconi    Animalia  , 10   2023, pp. 574   isbn: 9788845937798","€ 38,00","€ 36,10",,Etologia,2023 / pp. 574 /,"€ 18,99","Giunta all’età di quarant’anni, Len Howard sembra destinata ad assecondare il suo destino di talentuosa musicista, ma una svolta imprevista finisce per scombinare per sempre i suoi piani. Nel 1938 si trasferisce nell’East Sussex in un cottage circondato da un grande giardino, che si trasformerà col tempo – le finestre spesso aperte sono un attraente richiamo per uccelli di ogni specie – nello scenario di una delle avventure più affascinanti di tutta l’ornitologia moderna. A lungo gli studi pionieristici di Howard, qui radunati, verranno in realtà contestati dalla comunità scientifica, poiché in contrasto col metodo che validerebbe solo le osservazioni su soggetti ‘controllati’ in laboratorio. Eppure, da subito, l’autorevole biologo e genetista Julian Huxley ne coglie la portata innovativa, fondata proprio sull’osservazione degli uccelli in un habitat capace di liberarli dalla paura degli uomini, e di rivelarne così le autentiche – e spesso stupefacenti – facoltà affettive e cognitive. Pur analizzando e auscultando un gran numero di specie e illuminandone gli aspetti biologico-comportamentali (come nelle avvincenti pagine sul corteggiamento e il combattimento), Howard si concentra in particolare su alcuni protagonisti: come la cinciallegra Star, che manifesta spiazzanti capacità di conteggio e computazione, sporadiche applicazioni di un’intelligenza ben più vasta e multiforme. Alla fine ci renderemo conto di aver assistito a una sorta di apprendimento reciproco: quello dell’autrice dai suoi ospiti, e quello degli ospiti da lei. Ed è su questa corrispondenza che poggia il misurato lirismo di un racconto condotto con una grazia e un’esattezza che è raro trovare così felicemente accordate.",Gli studi pionieristici che hanno cambiato la storia dell’ornitologia.,,,,,,,,,,,,,,"Carl Safina   Il viaggio della tartaruga   Il «Leviatano delle tartarughe» in uno studio che è anche una narrazione travolgente.              Carl Safina   Animali non umani   Famiglia, bellezza e pace nelle culture animali.              Lee Alan Dugatkin, Ljudmila Trut   Come addomesticare una volpe   «Una storia che in parte è scienza, in parte fiaba russa, e in parte thriller di spionaggio».   («New York Times»)                  Peter Godfrey-Smith   Metazoa   Peter Godfrey-Smith scrive e pensa come nessun altro che io conosca. È un palombaro immerso nella scienza della vita e  Metazoa  è la sua più profonda immersione (Carl Safina).              Giorgio Vallortigara   Pensieri della mosca con la testa storta   Un approccio minimalista che apre nuove prospettive allo studio della coscienza.              Bert Hölldobler, Edward O. Wilson   Le formiche tagliafoglie   «Una formica, da sola, non è una formica» (Edward O. Wilson).                  Richard O. Prum   L’evoluzione della bellezza   La sopravvivenza dei più belli – l’evoluzione come non è mai stata raccontata.              Bernd Heinrich   La mente del corvo   E l’uomo incontrò il corvo.              Peter Godfrey-Smith   Altre menti   «Affascinante e spesso delizioso» («The Times»)."
Lo Zen e la cultura giapponese - Daisetz T. Suzuki,Lo Zen e la cultura giapponese,Daisetz T. Suzuki,"Traduzione di Gino Scatasta    gli Adelphi  , 683   2023, pp. 396   isbn: 9788845935312","€ 18,00","€ 17,10",,Giappone         Buddhismo,2014 / pp. 396 /,"€ 45,00      € 36,00","«Suzuki è riuscito a dimostrare che la cultura giapponese e lo Zen sono legati intimamente, cosicché le arti giapponesi, l’atteggiamento spirituale dei samurai, lo stile di vita, la vita morale, estetica e in certa misura perfino intellettuale dei giapponesi devono il loro carattere particolare a questo fondamento Zen e perciò sfuggono alla perfetta comprensione di chi non ha familiarità con esso».     Eugen Herrigel",La migliore guida per avvicinarsi al Giappone.,,,,,,,,,,,,,,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».              Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).                  Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Al servizio segreto di Sua Maestà - Ian Fleming,Al servizio segreto di Sua Maestà,Ian Fleming,"Traduzione di Massimo Bocchiola    Fabula  , 394   2023, pp. 277   isbn: 9788845938122","€ 22,00","€ 20,90",,,,,"Quando sulla strada per Royale-les-Eaux James Bond si vede sorpassare e seminare da una Lancia Flaminia Spider Vignale, ancora non sa che la donna al volante – Tracy, che di lì a ventiquattr’ore salverà prima al tavolo da gioco e poi dal tentativo di annegarsi – è destinata a diventare qualcosa di molto diverso da una delle tante Bond girl che abbiamo finora conosciuto. E non sa nemmeno che proprio grazie a lei – o meglio a suo padre, il Capu della mafia còrsa – riuscirà finalmente a mettersi sulle tracce del suo più iconico antagonista, Ernst Stavro Blofeld, il numero uno della spectre, volatilizzatosi dopo l’Operazione Thunderball. Per raggiungerlo, tuttavia, questa volta non basteranno le solite armi: Bond dovrà «interpretare il ruolo più difficile della sua carriera» – quello di Sir Hilary Bray, genealogista del College of Arms –, e sotto copertura penetrare nell’inaccessibile clinica diretta dal conte de Bleuville in vetta al Piz Gloria, nelle Alpi svizzere, dove dieci affascinanti ragazze inglesi sono sottoposte a un trattamento misterioso per la cura delle allergie. Tra mirabolanti inseguimenti sulla neve e sotterfugi per sgusciare nottetempo nella stanza di una delle pazienti, 007 scoprirà una realtà ben diversa: semplicemente, una minaccia mortale per il Regno Unito.","Uno dei più celebri, e rapinosi, capitoli delle avventure di James Bond.",Ian Fleming,Solo per i tuoi occhi,Un sorprendente Fleming in veste di scrittore di racconti.,"Fabula, 384",2022 / pp. 210 /,"€ 18,00","€ 14,40",,Goldfinger,"Fabula, 325",2017 / pp. 295 /,"€ 24,00","€ 19,20","Lawrence Osborne   Java Road   Cosa faresti se il tuo più vecchio amico
fosse un assassino, ma non ne avessi le
prove?              Han Kang   L’ora di greco   «Un romanzo eccelso che diventa più profondo a ogni lettura» («The Guardian»).              Benjamín Labatut   Maniac   L’odissea nera di John von Neumann, l’uomo che disegnò la mappa infernale del mondo che oggi abitiamo, nel nuovo straordinario libro di Benjamín Labatut.                  Michael Bible   L’ultima cosa bella sulla faccia della terra   «Un pugno nello stomaco» («New York Times Book Review»).              Pierre Boileau, Thomas Narcejac   I volti dell’ombra   Una lenta, inesorabile discesa nell’incubo.              Jean Stafford   Il puma   Una grande scrittrice che attende ancora di essere scoperta.                  Inès Cagnati   Giorno di vacanza   Il dolore delle origini in un romanzo di insolente intensità.              Peter Cameron   Che cosa fa la gente tutto il giorno?   I moti infinitesimali del nostro animo svelati dal Cameron più penetrante.              Christopher Isherwood   Il mondo di sera   Isherwood al massimo del suo estro narrativo."
La Brigata dei bastardi - Sam Kean,La Brigata dei bastardi,Sam Kean,"Traduzione di Luigi Civalleri    gli Adelphi  , 677   2023, pp. 492   isbn: 9788845938481","€ 15,00","€ 14,25","deutsches museum, münchen, archive, bn40853",Fisica         Storia contemporanea,2022 / pp. 492 /,"€ 32,00      € 25,60","Solo in certe narrazioni ucronico-distopiche la seconda guerra mondiale viene vinta dalle forze dell’Asse. Ma forse, se la Germania e i suoi alleati fossero giunti a disporre della bomba atomica, l’esito sarebbe stato proprio questo. Non a caso, gli Stati Uniti considerarono un simile scenario tanto realistico da prestarvi un’attenzione quasi ossessiva, e si spinsero a indagare gli sviluppi del nucleare tedesco con una specifica missione, l’Operazione Alsos. Di tale missione Sam Kean ricostruisce il contesto strategico e scientifico ed evoca con vividezza il team che la guidava: una «brigata» eterogenea e intraprendente composta da militari, scienziati geniali e professionisti vari con il mandato di carpire informazioni e ostacolare i progressi dell’arma nucleare tedesca, ricorrendo perfino a mezzi estremi quali il sabotaggio e l’omicidio. Emerge così una galleria di figure memorabili ed eroiche: dall’ex giocatore di baseball Moe Berg, poliglotta impiegato in alcune delle azioni più delicate, al fisico olandese Samuel Goudsmit, ai coniugi Irène e Frédéric Joliot-Curie, vincitori del Nobel nel 1935. Fra storia della fisica e  spy story  , Kean ci offre il suo libro più serrato e avvincente – al punto che, per lunghi tratti, rischiamo di dimenticare la drammatica realtà storica che contribuisce a decifrare.",L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.,Sam Kean,Il duello dei neurochirurghi,"Attraverso ‘casi’ memorabili, un viaggio nelle profonde, sorprendenti dinamiche del nostro assetto cerebrale.","Biblioteca Scientifica, 58",2017 / pp. 450 /,"€ 32,00","€ 25,60","€ 16,99",Il cucchiaino scomparso,"gli Adelphi, 460",2014 / pp. 409 /,"€ 14,00","€ 11,20","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Gli altri - Georges Simenon,Gli altri,Georges Simenon,"Traduzione di Laura Frausin Guarino    gli Adelphi  , 680   2023, pp. 145   isbn: 9788845938429","€ 12,00","€ 11,40",anne magill,Letteratura francese,2023 / pp. 145 /,"€ 6,99","«Lo zio Antoine è morto martedì, vigilia di O­gnissanti, probabilmente intorno alle undici di sera. Quella stessa notte Colette ha tentato di buttarsi dalla finestra». Ha un incipit brusco e drammatico questo romanzo (scritto, caso più u­nico che raro nella vasta produzione di Simenon, in forma di diario), che ci immerge nell’atmosfe­ra soffocante di una città di provincia – universo angusto e abitudinario, con le sue rigide gerar­chie sociali, i suoi riti immutabili e, soprattutto, il peso schiacciante dello sguardo altrui sul desti­no degli individui. Attraverso il racconto dell’au­tore del diario, «un mediocre soddisfatto», e tuttavia capace di una visione lucida e disincan­tata della realtà, Simenon amplia l’orizzonte narrativo e mette in scena, come lui solo sa fare, la rappresentazione tragicomica della famiglia Huet, dilaniata da conflitti latenti e malcelati rancori, da rivalità e tradimenti. In attesa delle esequie dello zio, e soprattutto dell’apertura del testamento, verranno alla luce fragilità e solitudini, ambizioni e frustrazioni, meschinità e bas­sezze – ma anche, per una volta, virtù morali, e perfino eroismi.","Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.",Georges Simenon,L’America in automobile,"Come gli americani, diventati ormai «tutt’uno» con la loro auto, Simenon attraversa gli Stati Uniti – e ci offre della sua nuova patria un’immagine intima e ancora oggi affascinante.","Piccola Biblioteca Adelphi, 797",2023 / pp. 185 /,"€ 16,00","€ 15,20","€ 8,99",Le persiane verdi,"gli Adelphi, 663",2023 / pp. 208 /,"€ 12,00","€ 9,60","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
L’America in automobile - Georges Simenon,L’America in automobile,Georges Simenon,"Traduzione di Federica Di Lella e Maria Laura Vanorio   Con una nota di Ena Marchi    Piccola Biblioteca Adelphi  , 797   2023, pp. 185   isbn: 9788845938306","€ 16,00","€ 15,20",,Letteratura francese         Letteratura di viaggi,2023 / pp. 185 /,"€ 8,99","Nell’ottobre del 1945 Georges Simenon sbarca a New York, ansioso di lasciarsi alle spalle le turbo­lenze degli anni di guerra, le accuse di collabora­zionismo e le minacce di epurazione. Con la mo­glie Tigy e il figlio Marc si stabilisce in Canada, nel Nouveau-­Brunswick – ma è agli Stati Uniti che guar­da. E, per conoscere meglio il paese dove comince­rà una nuova vita, parte al volante di una Chevro­let per un viaggio di cinquemila chilometri, che dal Maine lo porterà sino a Sarasota, sul Golfo del Messico. Ad attirarlo, come sempre, non sono le città – anche se confesserà che a New York si sente perfettamente a suo agio –, ma la gente e «i piccoli particolari della quotidianità»: tutto ciò che può offrire ai suoi lettori «un’immagine più intima» degli Stati Uniti. Lui che aveva sempre captato, o­vunque nel mondo, un disperato e insoddisfatto bisogno di dignità, finirà per essere conquistato dalla «forte tensione verso l’allegria e la gioia di vivere» che sprigionano le semplici ed essenziali case americane, dalla cordialità (o meglio: la fa­miliarità) che regola i rapporti di lavoro, dalla fiducia in sé stessi che le scuole sanno inculcare negli studenti, dalla squisita cortesia degli abitanti del Sud – che nelle relazioni mettono «quel qual­cosa di impercettibile e affascinante» che rende tanto preziosa l’esistenza – e scoprirà che proprio qui, nella sua nuova patria, vige «un tipo di vita che ... tiene conto più di qualsiasi altro della dignità dell’uomo».    Traduzione di Federica Di Lella e Maria Laura Vanorio.   Con una Nota di Ena Marchi.","Come gli americani, diventati ormai «tutt’uno» con la loro auto, Simenon attraversa gli Stati Uniti – e ci offre della sua nuova patria un’immagine intima e ancora oggi affascinante.",Georges Simenon,Gli altri,"Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.","gli Adelphi, 680",2023 / pp. 145 /,"€ 12,00","€ 11,40","€ 6,99",Le persiane verdi,"gli Adelphi, 663",2023 / pp. 208 /,,"€ 9,60",
