news,news,news,other,datetime,other,other,other
Insulta arbitro donna 'Devi fare fine di quella di Vigonovo' - Ultima ora - Ansa.it,Insulta arbitro donna 'Devi fare fine di quella di Vigonovo',Insulta arbitro donna 'Devi fare fine di quella di Vigonovo',"Durante partita basket under 17, si prende Daspo di 5 anni",",
                          12 dicembre 2023, 11:13","Un Daspo che gli vieterà ogni
manifestazione sportiva per 5 anni è stato inflitto nei
confronti di 50enne, padre di un giovane giocatore di basket,
che durante una partita ha insultato l'arbitro donna
dell'incontro, urlandole, tra le altre, ""devi fare la stessa
fine di quella di Vigonovo"", c riferimento al femminicidio di
Giulia Cecchettin.      
				    Il provvedimento è stato emesso dal questore di Padova,
Marco Odorisio.","Contro l'arbitro, una 17enne, l'uomo aveva
rivolto altrri insulti di tipo sessista.","Il fatto era avvenuto
il  dicembre scorso, durante la partita di pallacanestro under
17 maschile tra  le squadre Camin e Cittadella Brenta Gunners."
"Meloni, politica estera non è fare foto con Macron e Scholz - Ultima ora - Ansa.it","Meloni, politica estera non è fare foto con Macron e Scholz","Meloni, politica estera non è fare foto con Macron e Scholz","Ue è a 27, io parlo con tutti, con Francia, Germania e Ungheria",",
                          12 dicembre 2023, 20:54","""Mi ha molto colpito che si sia fatto
riferimento al grande gesto da statista del mio predecessore
Mario Draghi e la foto in treno verso Kiev con Macron e Scholz.      
				Per alcuni la politica estera è stata farsi foto con Francia e
Germania quando non si portava a casa niente.","L'Europa non è a
tre ma a 27, bisogna parlare con tutti: io parlo con la
Germania, la Francia e pure con l'Ungheria, questo è fare bene
il mio mestiere"".","Lo ha detto la premier Giorgia Meloni nella
replica alla Camera, rispondendo alla dem Lia Quartapelle."
"Champions: Inter pareggia 0-0 con R.Sociedad, seconda nel girone - Ultima ora - Ansa.it","Champions: Inter pareggia 0-0 con R.Sociedad, seconda nel girone","Champions: Inter pareggia 0-0 con R.Sociedad, seconda nel girone",Nerazzurri a 12 punti ma dietro per la differenza reti,",
                          12 dicembre 2023, 23:11","L'Inter non va oltre lo 0-0 a San
Siro con Real Sociedad e chiude al secondo posto del girone D di
Champions League.",,
Primo braccialetto 'd'urgenza' per stalking con nuovo Ddl - Ultima ora - Ansa.it,Primo braccialetto 'd'urgenza' per stalking con nuovo Ddl,Primo braccialetto 'd'urgenza' per stalking con nuovo Ddl,Proposto dal questore di Monza per un trentenne brianzolo,",
                          13 dicembre 2023, 08:12","Il braccialetto elettronico
""d'urgenza"" è stato applicato a un trentenne italiano residente
in provincia di Monza, già condannato per stalking, su proposta
del questore di Monza Salvatore Barilaro.",,"In
caso di manomissione l'uomo potrà essere arrestato anche fuori
flagranza di reato."
"Zelensky, dal Congresso Usa 'segnali positivi' - Ultima ora - Ansa.it","Zelensky, dal Congresso Usa 'segnali positivi'","Zelensky, dal Congresso Usa 'segnali positivi'",'Ma aspettiamo i risultati',",
                          12 dicembre 2023, 23:51","Nei suoi incontri al Congresso
americano Volodymyr Zelensky ha avuto ""segnali positivi"" sui
nuovi aiuti all'Ucraina.","Lo ha detto lui stesso in una
conferenza stampa alla Casa Bianca con Joe Biden sottolineando
tuttavia di voler aspettare i ""risultati"".",
"Mattarella, lucidità e lungimiranza per le prossime elezioni Ue - Ultima ora - Ansa.it","Mattarella, lucidità e lungimiranza per le prossime elezioni Ue","Mattarella, lucidità e lungimiranza per le prossime elezioni Ue",Eurocamera massimo organo rappresentativo volontà cittadini,",
                          12 dicembre 2023, 13:14","""Il 2024 sarà caratterizzato da un
grande esercizio di democrazia: il popolo europeo sarà chiamato
a eleggere il Parlamento d'Europa, massimo organismo
rappresentativo delle volontà dei cittadini del continente.      
				Occorreranno lucidità di giudizio e consapevole lungimiranza per
essere all'altezza delle sfide che ci riguardano.","Le strutture
dell'Unione hanno bisogno di essere rafforzate in numerosi
ambiti, dalla difesa all'agricoltura"".","Lo ha detto il Presidente
della Repubblica, Sergio Mattarella, parlando all'Assemblea
generale di Confagricoltura."
"Hamas, 'Israele ha assaltato ospedale a nord di Gaza' - Ultima ora - Ansa.it","Hamas, 'Israele ha assaltato ospedale a nord di Gaza'","Hamas, 'Israele ha assaltato ospedale a nord di Gaza'",'Sono entrati nella struttura di Kamal Adwan',",
                          12 dicembre 2023, 10:52","Le forze israeliane hanno assaltato
l'ospedale Kamal Adwan, nel nord di Gaza.",Lo riporta Afp.,"Il
ministero della Sanità, gestito da Hamas, come scritto da Al
Jazeera, ha riferito che l'attacco è avvenuto dopo che al
struttura era stata assediata e bombardato per giorni."
"Gaza: Onu, 'in forte aumento le malattie trasmissibili' - Ultima ora - Ansa.it","Gaza: Onu, 'in forte aumento le malattie trasmissibili'","Gaza: Onu, 'in forte aumento le malattie trasmissibili'",In rifugi Unrwa numero sfollati interni 9 volte più del previsto,",
                          12 dicembre 2023, 10:05","Il sovraffollamento e le pessime
condizioni igieniche nei rifugi dell'agenzia Onu per i rifugiati
palestinesi (Unrwa) nel sud della Striscia di Gaza, hanno
provocato un aumento significativo di alcune malattie e
condizioni trasmissibili come la diarrea, le infezioni
respiratorie acute, le infezioni della pelle e condizioni legate
all'igiene come i pidocchi: lo rende noto l'Ufficio per gli
affari umanitari dell'Onu (Ocha) nel suo aggiornamento
quotidiano.",Lo riporta il Guardian.,"In media, aggiunge l'Ocha, i
rifugi dell'Unrwa situati nelle aree centrali e meridionali
ospitano 9 volte il numero di sfollati interni rispetto al
previsto."
"La Cop28 va ai supplementari, rush finale per l'accordo - Ultima ora - Ansa.it","La Cop28 va ai supplementari, rush finale per l'accordo","La Cop28 va ai supplementari, rush finale per l'accordo","Si tratta nella notte, verso una nuova bozza di compromesso",",
                          12 dicembre 2023, 20:18","A Dubai la Cop28 doveva
ufficialmente essersi già chiusa.","E invece si va ai tempi
supplementari, alla ricerca di un accordo di compromesso su una
nuova bozza che sia meno 'deludente' della precedente.","Almeno
secondo la maggior parte dei 197 Paesi più l'Unione europea che
dal 30 novembre stanno partecipando ai negoziati. L'inviato Usa
per il clima, John Kerry, è tra coloro che ammettono progressi
nelle ultime ore."
,,,,,,,
"Borsa: l'Europa apre in rialzo, Francoforte +0,17% - Ultima ora - Ansa.it","Borsa: l'Europa apre in rialzo, Francoforte +0,17%","Borsa: l'Europa apre in rialzo, Francoforte +0,17%","Più cauta Parigi (+0,08%), Londra +0,33%",",
                          12 dicembre 2023, 09:19","Avvio con il segno più per le Borse
europee che guardano all'inflazione Usa, attesa in giornata, ma
soprattutto alle banche centrale e alle mosse per il 2024 per
invertire la politica sui tassi.      
				Parigi segna un marginale +0,08% con il Cac 40 a 7.557 punti.      
				Più convinta Francoforte (+0,17% con il Dax a 16.823 punti) in
attesa dell'indice Zew.","Si allinea anche Londra (+0,33%, Ftse
100 a 7.507 punti).",
"Mattarella, c'è interesse pubblico a sviluppo agricoltura - Ultima ora - Ansa.it","Mattarella, c'è interesse pubblico a sviluppo agricoltura","Mattarella, c'è interesse pubblico a sviluppo agricoltura",Capo dello Stato ad Assemblea generale di Confagricoltura,",
                          12 dicembre 2023, 12:26","""l'obiettivo primario della
previsione costituzionale era quello di accrescere la quantità
della produzione agricola per soddisfare i bisogni della
popolazione, uscita stremata dalla guerra.","Indicando l'obbligo
di coltivare la terra.","Anche per questo l'art. 47 dispone che
""la Repubblica favorisce l'accesso alla proprietà diretto
coltivatrice"". In nome di un più alto interesse generale, che
travalica le normali relazioni economiche bilaterali.  In
Costituzione viene definito l'interesse pubblico allo sviluppo
razionale delle coltivazioni agricole, ritenuto degno di
tutela"". Lo ha detto il presidente della Repubblica, Sergio
Mattarella, parlando all' Assemblea generale di Confagricoltura."
Meloni incontra capigruppo maggioranza alla Camera sulla Manovra - Ultima ora - Ansa.it,Meloni incontra capigruppo maggioranza alla Camera sulla Manovra,Meloni incontra capigruppo maggioranza alla Camera sulla Manovra,Riunione prima delle comunicazioni della premier,",
                          12 dicembre 2023, 15:52","La presidente del Consiglio Giorgia
Meloni è alla Camera, per un incontro con i capogruppo di
maggioranza sull'iter della manovra che è in corso.","A seguire,
alle 16, in Aula a Montecitorio sono previste le comunicazioni
della premier in vista del Consiglio europeo.","Alla riunione
sulla manovra, nella Sala del governo, partecipano fra gli altri
il sottosegretario alla Presidenza del Consiglio Alfredo
Mantovano, il ministro per i Rapporti con il Parlamento Luca
Ciriani, i capigruppo Tommaso Foti (FdI), Paolo Barelli (FI),
Riccardo Molinari (Lega) e il leader di Noi moderati Maurizio
Lupi."
"Gaza, Hamas: rispettare la richiesta di tregua dell'Onu - Ultima ora - Ansa.it","Gaza, Hamas: rispettare la richiesta di tregua dell'Onu","Gaza, Hamas: rispettare la richiesta di tregua dell'Onu",'In corso genocidio e pulizia etnica' contro palestinesi,",
                          13 dicembre 2023, 02:39","Hamas ha accolto con favore la
richiesta dell'Assemblea generale delle Nazioni Unite di un
cessate il fuoco immediato a Gaza, riportano i media arabi.      
				   Izzat Al-Rishq, membro dell'Ufficio politico del movimento
islamista palestinese, ""ha esortato la comunità internazionale a
continuare a esercitare pressioni"" su quelle che ha definito le
""forze di occupazione"" e ha chiesto ""il rispetto"" della
decisione dell'Onu.","In un breve comunicato, Al-Rishq ha anche
condannato ""la guerra di genocidio e pulizia etnica"" contro il
popolo della Striscia di Gaza.",
"Gaza: morti altri 8 soldati israeliani, totale sale a 112 - Ultima ora - Ansa.it","Gaza: morti altri 8 soldati israeliani, totale sale a 112","Gaza: morti altri 8 soldati israeliani, totale sale a 112",La maggior parte uccisi in un unico incidente,",
                          13 dicembre 2023, 06:21","Otto soldati israeliani sono rimasti
uccisi ieri nel nord di Gaza, ha reso noto oggi l'esercito di
Israele.",,"Tra i morti c'è
anche un comandante di battaglione."
"Pil Regno Unito cala a sopresa dello 0,3% a ottobre - Ultima ora - Ansa.it","Pil Regno Unito cala a sopresa dello 0,3% a ottobre","Pil Regno Unito cala a sopresa dello 0,3% a ottobre",Risultato peggiore delle stime degli analisti,",
                          13 dicembre 2023, 08:17","Calo, a sorpresa, del Pil del Regno
Unito a ottobre.","Secondo i dati diffusi dall'ufficio nazionale
di statistica, l'economia britannica ha perso lo 0,3%.","Le stime
degli analisti oscillavano da un +0,1% a -0,2%. Il calo ha
interessato tutti i comparti: servizi, industria e costruzioni."
"Meloni, agricoltura strategica anche per economia e identità - Ultima ora - Ansa.it","Meloni, agricoltura strategica anche per economia e identità","Meloni, agricoltura strategica anche per economia e identità",Sa trasformare le produzioni primarie in eccellenze assolute,",
                          12 dicembre 2023, 11:21","""Voglio salutare, ovviamente, il
presidente Mattarella: la sua presenza è il segnale più forte
dell'importanza e dell'attenzione che le Istituzioni
attribuiscono alla nostra agricoltura, un comparto strategico
non solo in termini economici ma anche in termini culturali,
sociali, identitari"".","Lo ha detto la presidente del Consiglio
Giorgia Meloni, in apertura del videomessaggio inviato
all'Assemblea invernale di Confagricoltura.","""Permettetemi di farvi i complimenti per il video
promozionale che avete realizzato per l'assemblea di oggi. È una
descrizione molto efficace del connubio che l'agricoltura
italiana incarna e che la rende grande e apprezzata a livello
interno e a livello internazionale - ha aggiunto la premier -."
"Champions: 2-0 al Braga, Napoli agli ottavi - Ultima ora - Ansa.it","Champions: 2-0 al Braga, Napoli agli ottavi","Champions: 2-0 al Braga, Napoli agli ottavi",Partenopei chiudono il girone al secondo posto,",
                          12 dicembre 2023, 22:55","Il Napoli batte 2-0 il Braga
nell'ultima giornata del girone C di Champions League e si
qualifica agli ottavi di finale.","Hanno deciso il match una
autorete di Saatci al 9' del primo tempo e un gol di Osimhen al
33'.","Il Napoli chiude il girone al secondo posto alle spalle del
Real Madrid."
"Ministero Sanità Gaza, bilancio morti sale a 18.412 - Ultima ora - Ansa.it","Ministero Sanità Gaza, bilancio morti sale a 18.412","Ministero Sanità Gaza, bilancio morti sale a 18.412",Più di 50mila i feriti,",
                          12 dicembre 2023, 14:17","Il ministero della Sanità di Gaza,
controllato da Hamas, ha annunciato che il nuovo bilancio dei
morti nella Striscia è di 18.412.",,
"Netanyahu avverte, 'a Gaza non ci sarà né Hamas né Fatah' - Ultima ora - Ansa.it","Netanyahu avverte, 'a Gaza non ci sarà né Hamas né Fatah'","Netanyahu avverte, 'a Gaza non ci sarà né Hamas né Fatah'",'Divergenze con gli Usa ma non ripeteremo l'errore fatto a Oslo',",
                          12 dicembre 2023, 15:58","""Gaza non sarà un Hamastan e
nemmeno un Fatahstan"".","Lo ha detto il premier israeliano
Benyamin Netanyahu riferendosi al futuro della Striscia e alle
""divergenze d'opinione con gli Usa"" su questo tema.","""Non
permetterò che Israele ripeta l'errore di Oslo, non consentirò
che dopo l'enorme sacrificio compiuto dai nostri combattenti
entri a Gaza chi educa al terrore, chi lo sostiene, chi lo
finanzia"", ha aggiunto."
"Biden,Kiev uscirà libera dalla guerra se non la abbandoniamo - Ultima ora - Ansa.it","Biden,Kiev uscirà libera dalla guerra se non la abbandoniamo","Biden,Kiev uscirà libera dalla guerra se non la abbandoniamo",Il presidente americano: i repubblicani fanno il gioco di Putin,",
                          12 dicembre 2023, 23:49","""L'Ucraina uscira' libera e
forte dal conflitto con la Russia, a meno che non la
abbandoniamo"": lo ha detto Joe Biden nella conferenza stampa
congiunta con Volodymyr Zelensky dopo il loro incontro nello
studio Ovale, sostenendo che ""e' gia' una vittoria"" che Kiev
abbia resistito all'invasione russa e che il presidente ucraino
""sia qui dopo due anni"".      
				   Biden ha ammonito che i repubblicani fanno il gioco di Putin
bloccando gli aiuti Usa a Kiev.",,"Per noi
è un bene"", ha ricordato. ""Se vieni celebrato dai propagandisti
russi, potrebbe essere il momento di ripensare a quello che stai
facendo. La storia… giudicherà severamente"", ha aggiunto."
"Meloni, sul Patto aperte tutte opzioni, vedremo alla fine - Ultima ora - Ansa.it","Meloni, sul Patto aperte tutte opzioni, vedremo alla fine","Meloni, sul Patto aperte tutte opzioni, vedremo alla fine",Preferisco essere accusata di isolamento che di svendere Paese,",
                          12 dicembre 2023, 20:57","""La trattativa è serrata, si parte da
posizioni che sono tra loro molto distanti: la posizione
definitiva dell'Italia andrà presa quando sapremo esattamente
dove si è fermata la trattativa"".","Così la presidente del
Consiglio Giorgia Meloni sul Patto di Stabilità nella replica
dopo il dibattito sulle comunicazioni alla Camera in vista del
Consiglio Ue.","L'Italia ha ""un approccio costruttivo e pragmatico
ma dobbiamo tenere aperte tutte le opzioni: non sono disposta a
dare mio assenso a un Patto che, non questo governo, ma nessun
governo potrebbe rispettare"". ""Preferisco, come si sa da una
vita, di essere accusata di essere isolata piuttosto che di
svendere l'Italia, come è accaduto per anni"", ha concluso."
Morta donna triestina che aveva chiesto suicidio assistito - Ultima ora - Ansa.it,Morta donna triestina che aveva chiesto suicidio assistito,Morta donna triestina che aveva chiesto suicidio assistito,"Ass. Coscioni, 'la prima in Italia con assistenza diretta Ssn'",",
                          12 dicembre 2023, 13:46","La donna triestina di 55 anni
affetta da sclerosi multipla secondariamente progressiva, che
aveva chiesto di accedere al suicidio assistito, è morta il 28
novembre a casa sua, a Trieste, a seguito
dell'autosomministrazione di un farmaco letale.",,"È la terza persona seguita dall'associazione ad
accedere alla morte volontaria assistita in Italia, la quinta ad
aver avuto il via libera. La prima in Fvg."
"Il petrolio chiude in forte calo a New York a 68,64 dollari - Ultima ora - Ansa.it","Il petrolio chiude in forte calo a New York a 68,64 dollari","Il petrolio chiude in forte calo a New York a 68,64 dollari","Quotazioni perdono il 3,76%",",
                          12 dicembre 2023, 20:42","Il petrolio chiude in forte
calo a New York, dove le quotazioni perdono il 3,76% a 68,64
dollari al barile.",,
"Meloni, l'Italia è nazione virtuosa, lo spread è sotto controllo - Ultima ora - Ansa.it","Meloni, l'Italia è nazione virtuosa, lo spread è sotto controllo","Meloni, l'Italia è nazione virtuosa, lo spread è sotto controllo",Lo dimostra sistema pensionistico fra i più equilibrati d'Europa,",
                          12 dicembre 2023, 16:19","""L'Italia è una nazione virtuosa, lo
testimonia l'avanzo primario, lo dimostra il sistema
pensionistico fra i più equilibrati d'Europa.","Il tutto
accompagnato da dati macroeconomico stabili, soddisfacenti, da
un mercato del lavoro che sta registrando dati record, da una
borsa che dal 2023 sta facendo registrare la maggiore
performance d'Europa, dallo spread sotto controllo"".","Lo ha detto
la presidente del Consiglio Giorgia Meloni nelle comunicazioni
alla Camera in vista della riunione del Consiglio europeo del 14
e 15 dicembre."
"Metsola, Sakharov è tributo a donne Iran, non siete sole - Ultima ora - Ansa.it","Metsola, Sakharov è tributo a donne Iran, non siete sole","Metsola, Sakharov è tributo a donne Iran, non siete sole",'Jina Mahsa Amini ha dato la vita per difendere la libertà',",
                          12 dicembre 2023, 11:30","""Jina Mahsa Amini ha dato la
vita per difendere le donne in Iran e oggi ricordiamo il suo
sacrificio.","Il Premio Sakharov è un tributo a tutte le donne e
uomini coraggiosi che nonostante la repressione continuando a
lottare per un cambiamento.","Non siete sole, siamo con voi"". Lo
ha detto la presidente dell'Eurocamera, Roberta Metsola, durante
una conferenza stampa a Strasburgo sull'assegnazione del Premio
Sacharov alle attiviste iraniane del movimento Donna Vita
Libertà e l'avvocato di Jina Mahsa Amini, l'attivista iraniana
uccisa dal regime poiché non voleva indossare il velo."
"Tumori: ondata di casi post-pandemia, 395mila stimati nel 2023 - Ultima ora - Ansa.it","Tumori: ondata di casi post-pandemia, 395mila stimati nel 2023","Tumori: ondata di casi post-pandemia, 395mila stimati nel 2023","Censimento Aiom,crollano screening. In 13 anni 268000 vite salve",",
                          12 dicembre 2023, 10:00","Un'ondata di casi di tumore ha
caratterizzato il post-pandemia in Italia.","In tre anni,
l'incremento è stato infatti di 18.400 diagnosi: erano 376.600
nel 2020 e nel 2023 sono stimate 395.000 nuove diagnosi (208.000
negli uomini e 187.000 nelle donne).","Al contempo è calata in
modo preoccupante l'adesione agli screening di prevenzione, ma i
passi avanti della ricerca hanno consentito di salvare 268mila
vita in 13 anni."
Calcio: 'viaggio più bello mia vita' Chiellini annuncia ritiro - Ultima ora - Ansa.it,Calcio: 'viaggio più bello mia vita' Chiellini annuncia ritiro,Calcio: 'viaggio più bello mia vita' Chiellini annuncia ritiro,L'ex Juve: 'è il momento di aprire nuovi capitoli',",
                          12 dicembre 2023, 16:14","""Sei stato il viaggio più bello e
intenso della mia vita.",Sei stato il mio tutto.,"Con te ho
percorso un cammino unico e indimenticabile"". Con una storia su
Instagram corredata da un video dal sapore amarcord l'ex
difensore della Juventus e della Nazionale, Giorgio Chiellini,
annuncia il ritiro dal calcio professionistico. ""Ma ora -
aggiunge - è il momento di aprire nuovi capitoli e scrivere
altre pagine importanti ed entusiasmanti""."
Gb: morto un migrante a bordo del barcone alloggio - Ultima ora - Ansa.it,Gb: morto un migrante a bordo del barcone alloggio,Gb: morto un migrante a bordo del barcone alloggio,Bibby Stockholm finito al centro di polemiche per la sicurezza,",
                          12 dicembre 2023, 12:37","E' morto un migrante a bordo del
Bibby Stockholm, il mega barcone alloggio attraccato per
iniziativa del governo britannico nel Dorset, Inghilterra
meridionale, al fine di ospitare i richiedenti asilo.","Ne dà
notizia Sky News secondo cui al momento non sono note le cause
del decesso.","Il mega barcone era stato al centro di polemiche
per la sicurezza ed era stato riaperto dopo un periodo di
chiusura seguita al ritrovamento a bordo di tracce del batterio
della legionella."
Gli houthi rivendicano attacco a petroliera nel Mar Rosso - Ultima ora - Ansa.it,Gli houthi rivendicano attacco a petroliera nel Mar Rosso,Gli houthi rivendicano attacco a petroliera nel Mar Rosso,Nave norvegese che trasportava carburante in Israele,",
                          12 dicembre 2023, 10:11","I ribelli houthi dello Yemen hanno
rivendicato oggi la responsabilità dell'attacco missilistico di
ieri che ha colpito una petroliera battente bandiera norvegese
nel Mar Rosso.      
				   ""Unità navali delle forze armate yemenite hanno preso di mira
una petroliera norvegese, la Strinda, che trasportava carburante
per Israele"", ha detto un portavoce militare degli houthi, Yahya
Saree.",,
"Borsa: Hong Kong negativa, apre a -0,38% - Ultima ora - Ansa.it","Borsa: Hong Kong negativa, apre a -0,38%","Borsa: Hong Kong negativa, apre a -0,38%","Shanghai perde lo 0,20%, Shenzhen cede lo 0,18%",",
                          13 dicembre 2023, 03:16","La Borsa di Hong Kong apre la
seduta in territorio negativo: l'indice Hang Seng cede nelle
prime battute lo 0,38%, attestandosi a 16.311,71 punti.","Il
Composite di Shanghai perde lo 0,20% a 2.997,34, mentre quello
di Shenzhen cede lo 0,18% e si attesta a quota 1.864,78.",
"Biden, 'Netanyahu non vuole una soluzione a due Stati' - Ultima ora - Ansa.it","Biden, 'Netanyahu non vuole una soluzione a due Stati'","Biden, 'Netanyahu non vuole una soluzione a due Stati'",'Israele sta cominciando a perdere sostegno in tutto il mondo',",
                          12 dicembre 2023, 19:04","""Netanyahu non vuole una
soluzione a due Stati"".",,
Beppe Grillo ricoverato a Cecina per controlli - Ultima ora - Ansa.it,Beppe Grillo ricoverato a Cecina per controlli,Beppe Grillo ricoverato a Cecina per controlli,"In osservazione, condizioni generali buone. Presto dimissioni",",
                          12 dicembre 2023, 13:11","Il fondatore dei 5 stelle Beppe
Grillo è ricoverato da domenica  all'ospedale di Cecina, in
provincia di Livorno.",,"Tant'è che in giornata
potrebbe essere dimesso."
"Lo spread Btp-Bund si restringe e chiude a 177,3 punti - Ultima ora - Ansa.it","Lo spread Btp-Bund si restringe e chiude a 177,3 punti","Lo spread Btp-Bund si restringe e chiude a 177,3 punti",Ridisceso sotto la soglia del 4% il rendimento del bond italiano,",
                          12 dicembre 2023, 18:07","Lo spread tra Btp e Bund tedesco
termina la giornata in calo a 177,3 punti base dai 179 punti
segnati in chiusura lunedì.","Il rendimento del decennale italiano
è in flessione sotto la soglia del 4%, al 3,99% dal 4,058% di
ieri.",
"Pakistan: attacco suicida a base esercito, 23 morti - Ultima ora - Ansa.it","Pakistan: attacco suicida a base esercito, 23 morti","Pakistan: attacco suicida a base esercito, 23 morti",Rivendicazione di militanti affiliati ai talebani pachistani,",
                          12 dicembre 2023, 10:09","Almeno 23 persone sono state
uccise questa mattina in un attentato suicida in una base
militare del Pakistan: lo ha reso noto un funzionario.",,
"Meloni, nel patto con Tirana pieno rispetto del diritto - Ultima ora - Ansa.it","Meloni, nel patto con Tirana pieno rispetto del diritto","Meloni, nel patto con Tirana pieno rispetto del diritto",Destinato a diventare importante strumento contro i trafficanti,",
                          12 dicembre 2023, 17:50","""L'accordo con Tirana è destinato a
diventare un importante strumento per combattere i trafficanti e
per permettere l'ingresso sul territorio europeo solo a coloro
che hanno diritto alla protezione internazionale.","C'è un
costante dialogo con la Commissione europea sull'accordo per
sostanziare l'impegno al pieno rispetto del diritto dell'Ue,
nazionale e internazionale"".","Lo ha detto la presidente del
Consiglio Giorgia Meloni nelle comunicazioni alla Camera in
vista della riunione del Consiglio europeo del 14 e 15 dicembre."
"La Biblioteca dei sentimenti, su Raitre un Natale di libri - Ultima ora - Ansa.it","La Biblioteca dei sentimenti, su Raitre un Natale di libri","La Biblioteca dei sentimenti, su Raitre un Natale di libri","Dal 18 dicembre con de Giovanni e Mauro, 15 puntate per le feste",",
                          12 dicembre 2023, 12:57","Un Natale di libri per tutti: andrà
in onda su Raitre dal 18 dicembre tutti i giorni per quindici
puntate 'La Biblioteca dei sentimenti', il nuovo format prodotto
da Rai Intrattenimento Day Time presso il Centro produzione di
Napoli, appuntamento che accompagnerà il periodo delle festività
dal lunedì al venerdì, alle 15.20 per 40 minuti.",,"Ogni giorno verranno analizzati
tre testi; un grande classico, un romanzo contemporaneo e saggio
e interverranno tre personalità tra scrittori, saggisti,
filosofi, opinionisti. In apertura si ascolterà un monologo
originale di de Giovanni sul sentimento di puntata. Al via con
la felicità, ospiti Franco Arminio, Carmine Abate, Cristina
Dall'Acqua. Libri scelti ""Siddharta"" Hermann Hesse, ""Un paese
felice'' di Carmine Abate, ""De vita beata'' di Seneca."
Assemblea Onu approva bozza che chiede cessate fuoco Gaza - Ultima ora - Ansa.it,Assemblea Onu approva bozza che chiede cessate fuoco Gaza,Assemblea Onu approva bozza che chiede cessate fuoco Gaza,"Usa e Israele votano no, Italia e Germania si astengono",",
                          12 dicembre 2023, 22:36","L'Assemblea Generale dell'Onu ha
approvato la risoluzione che chiede un ""cessate il fuoco
umanitario immediato a Gaza.","Nella bozza si esprime anche la
""grave preoccupazione per la catastrofica situazione umanitaria
a Gaza"", sulla scia del testo bocciato venerdì in Consiglio di
Sicurezza a causa del veto Usa.","La risoluzione ha ottenuto 153
voti a favore, 10 contrari (tra cui Austria, Usa, Israele), e 23
astenuti, tra cui Germania e Italia, mentre la Francia ha votato
a favore."
Biden firma altri aiuti a Kiev per 200 milioni di dollari - Ultima ora - Ansa.it,Biden firma altri aiuti a Kiev per 200 milioni di dollari,Biden firma altri aiuti a Kiev per 200 milioni di dollari,L'annuncio durante la visita di Zelensky,",
                          12 dicembre 2023, 22:28","Joe Biden ha firmato ""un altro
pacchetto di aiuti per 200 milioni di dollari di aiuti
all'Ucraina"": lo ha annunciato il presidente Usa nel suo
incontro con Volodymyr Zelensky nello studio Ovale.",,
"Vaticano, ok a parte ceneri defunti in luoghi del cuore - Ultima ora - Ansa.it","Vaticano, ok a parte ceneri defunti in luoghi del cuore","Vaticano, ok a parte ceneri defunti in luoghi del cuore",Sì anche a sepolture comuni come per ossari,",
                          12 dicembre 2023, 13:21","Le ceneri di un defunto
possono essere deposte in ""un luogo sacro"" anche comune, come
accade per gli ossari.",,"Lo afferma il Dicastero per la Dottrina
della Fede in un documento controfirmato dal Papa."
