Book Title,Book Category,Argomenti,Book Title,Author,Seller,Author,Price,Price,Price,Price,Other,Country,Other,Other,Book Description,Author,Seller,Date of publication,Pages,Code/ID,Date of publication,Author
I baffi - Emmanuel Carrère - Libro - Adelphi - Fabula | Feltrinelli,Narrativa straniera,Moderna e contemporanea (dopo il 1945),I baffi,Emmanuel Carrère,,Emmanuel Carrère,"(Altri 10 da 13,60 €)","13,60 €","17,00 €",140.0,890,Francia,Tutte le offerte (11),Nuovo (11),"«Di certi autori capita che non si legga subito la loro primissima produzione. Magari è uscita in sordina, magari il loro è un successo venuto in un secondo tempo. È successo più o meno lo stesso con Emmanuel Carrère. Ma le 150 pagine di  I baffi  s’impongono a una lettura avida e ininterrotta sin dalla prima pagina.» - Teresa Bellemo  RivistaStudio",Emmanuel Carrère,Fabula,27 febbraio 2020,"149 p., Brossura",9788845934599.0,"1957, Parigi","Emmanuel Carrère è scrittore, regista e sceneggiatore francese.Laureato all'Istituto di Studi Politici di Parigi, è figlio di Louis Carrère e della sovietologa e accademica Hélène Carrère d'Encausse figlia di immigrati georgiani che fuggirono la Rivoluzione russa.I suoi esordi sono stati nella critica cineatografica, per «Positif» e «Télérama». Il suo primo libro, Werner Herzog, un saggio, è stato pubblicato nel 1982. Il suo esordio come romanziere risale invece al 1983: è L'amico del giaguaro, pubblicato da Flammarion. Il successivo Bravura (1984, in Italia pubblicato nel 1991 da Marcos y Marcos), invece, è stato pubblicato da POL, editore con il quale da allora non ha più interrotto..."
Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni - Guendalina Middei - Libro - Feltrinelli - Scintille | Feltrinelli,"Classici, poesia, teatro e critica",Storia e critica,Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni,Guendalina Middei,Feltrinelli,Guendalina Middei,"(Altri 8 da 15,20 €)","15,20 €","16,00 €",150.0,41,Italia,Tutte le offerte (9),Nuovo (9),"Chiunque ami il gusto di letture che non smettono di sorprendere per la loro ricchezza troverà in questo libro suggestioni preziose per accostarle e lasciare che ci parlino, superando con piccoli stratagemmi le difficoltà che pongono.",Guendalina Middei,Scintille,16 gennaio 2024,"208 p., Brossura",9788807174353.0,"1992, Roma","Guendalina Middei é un'autrice italiana. Nata a Roma nel 1992, ha scritto per diversi giornali e riviste tra cui “Critica Letteraria” e “Culturificio” e “Sintesi Dialettica”. Tra i suoi titoli, Clodio (Navarra Editore, 2022), Intervista con un matto (Navarra Editore, 2023) e Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni (Feltrinelli, 2024)."
Se solo il mio cuore fosse pietra - Titti Marrone - Libro - Feltrinelli - I narratori | Feltrinelli,Narrativa italiana,Di ambientazione storica,Se solo il mio cuore fosse pietra,Titti Marrone,,Titti Marrone,"(Altri 7 da 16,51 €)","16,62 €","17,50 €",170.0,64,,Tutte le offerte (8),Nuovo (8),"Libro vincitore del Premio Croce 2023, del Premio Sereni, giuria popolare sezione editi 2022 e del Premio Napoli - Narrativa 2022. Finalista al Premio Alassio Centolibri-Un autore per l'Europa 2022",Titti Marrone,I narratori,20 gennaio 2022,240 p.,9788807034794.0,,"Giornalista. Ha scritto sul 'Mattino' di Napoli dal 1980 al 2012, poi sull'Huffington Post. Si è occupata di teatro, storia delle idee, letteratura e politica, ha insegnato dal 1996 all’Università storia e tecniche del giornalismo. Negli anni Ottanta la sua ricerca si è focalizzata sulla storia del Mezzogiorno (Riforma agraria e questione meridionale, De Donato 1981). Ha scritto inoltre: Il mestiere di regista teatrale (Marcon 1992); Controluce (Pironti 1995) insieme a Gustaw Herling; Il sindaco (Rizzoli 1996); Meglio non sapere (ultima edizione Laterza 2013). Con Mondadori ha pubblicato Il tessitore di vite e Questo bimbo a chi lo do (2013). Nel 2019 ha pubblicato La donna capovolta (Iacobellieditore) e nel 2022 Se solo il mio..."
Lo scudo del principe - Cassandra Clare - Libro - Mondadori - Fantastica | Feltrinelli,Young Adult,,Lo scudo del principe,Cassandra Clare,Mondadori,Cassandra Clare,"(Altri 11 da 20,80 €)","20,80 €","21,90 €",210.0,81,Stati Uniti d'America,,,«Questo romanzo ha tutto quello che cerco in un fantasy.»,Cassandra Clare,Fantastica,16 gennaio 2024,"540 p., Rilegato",9788804741121.0,"1973, Teheran (Iran)","Cassandra Clare è il nome d'arte di Judith Rumelt. Nata in Iran, ha passato i primi anni della sua vita in giro per il mondo (Francia, Inghilterra, Svizzera, addirittura Himalaya) con la famiglia e bauli di libri. Da grande, ha lavorato come giornalista di spettacolo tra Los Angeles e New York. Stabilizzatasi a Brooklyn, scrive in bar e ristoranti, per non farsi distrarre dai suoi tanti gatti. Maestra del romanzo urban fantasy contemporaneo, ha all'attivo numerose pubblicazioni, tra le quali ricordiamo le tre trilogie di Shadowhunters. Nel 2004 comincia a lavorare al primo volume della prima trilogia, che sarà pubblicato in Italia nel 2007. Oltre a Shadowhunters. Città di Ossa, saranno pubblicati i volumi Shadowhunters. Città di Cenere e Shadowhunters. Città..."
"Oltre Auschwitz. Europa orientale, l’Olocausto rimosso - Frediano Sessi - Libro - Marsilio - Biblioteca | Feltrinelli","Società, politica e comunicazione",Argomenti d'interesse generale,"Oltre Auschwitz. Europa orientale, l’Olocausto rimosso",Frediano Sessi,Marsilio,Frediano Sessi,,"28,50 €","30,00 €",290.0,4,Italia,Tutte le offerte (1),Nuovo (1),,Frediano Sessi,Biblioteca,23 gennaio 2024,"416 p., Brossura",9788829717644.0,"1949, Torviscosa (UD)","Frediano Sessi è un saggista, scrittore, traduttore consulente editoriale italiano.Vive a Mantova. Insegna Sociologia generale nel Corso di Laurea in Educazione professionale della Facoltà di Medicina dell’Università di Brescia ed è stato Segretario Generale della Fondazione Università di Mantova dal 2003 al 2013. È stoto docente incaricato di Etica Ambientale presso la Facoltà di Ingegneria dell’Università di Pavia, sede di Mantova. Tra le sue pubblicazioni ricordiamo Nome di battaglia: Diavolo (2000), Prigionieri della memoria (2006, due edizioni), Foibe Rosse (2007, due edizioni), Il segreto di Barbiana (2009), Il lungo viaggio di Primo Levi (2013) e con Carlo Saletti Visitare Auschwitz (2011, due edizioni) e Auschwitz..."
Iron Flame - Rebecca Yarros - Libro - Sperling & Kupfer -  | Feltrinelli,Narrativa straniera,Fantasy,Iron Flame,Rebecca Yarros,Sperling & Kupfer,Rebecca Yarros,,"18,90 €","19,90 €",190.0,190,Stati Uniti d'America,Tutte le offerte (1),Nuovo (1),"L’atteso seguito di  Fourth wing  .  Iron flame  è una storia che unisce elementi romance, fantasy, battaglie e scontri tra popoli.",Rebecca Yarros,,30 gennaio 2024,"672 p., Rilegato",9788820077341.0,,"Rebecca Yarros è un'autrice statunitense. Si definisce una romantica senza speranza, amante del cioccolato e dipendente dal caffè. Nel 2023 Sperling & Kupfer pubblica in Italia, Fourth Wing e nel 2024 il sequel Iron Flame."
Naively mine. Ingenuamente mio - A.J. Foster - Libro - Magazzini Salani -  | Feltrinelli,Narrativa italiana,Horror e narrativa gotica,Naively mine. Ingenuamente mio,A.J. Foster,Magazzini Salani,A.J. Foster,"(Altri 7 da 16,06 €)","16,06 €","16,90 €",160.0,52,Italia,Tutte le offerte (8),Nuovo (8),Un debito da pagare. Una bugia da espiare. Si può conquistare un cuore senza barare?,,,16 gennaio 2024,"512 p., Brossura",9791259571632.0,,"A.J. Foster è un’autrice italiana. Appassionata di scrittura fin da piccola, ha iniziato a condividere le sue storie sulla piattaforma di lettura sociale, Wattpad, appassionando un gran numero di lettori. Studia Giurisprudenza e lavora come amministratrice aziendale. Dal 2023 Magazzini Salani pubblica La saga Harrison, composta da Dangerously Mine. Pericolosamente mio, Strangely Mine. Stranamente mio e Naively mine. Ingenuamente mio."
Alma - Federica Manzon - Libro - Feltrinelli - I narratori | Feltrinelli,Narrativa italiana,Moderna e contemporanea (dopo il 1945),Alma,Federica Manzon,Feltrinelli,Federica Manzon,"(Altri 9 da 17,10 €)","17,10 €","18,00 €",170.0,64,Italia,Tutte le offerte (10),Nuovo (10),"Federica Manzon scrive un romanzo dove l’identità, la memoria e la Storia – personale, familiare, dei Paesi – si cercano e si sfuggono continuamente, facendo di Trieste un punto di vista da cui guardare i nostri difficili tentativi di capire chi siamo e dov’è la nostra casa.",Federica Manzon,I narratori,16 gennaio 2024,"272 p., Brossura",9788807035784.0,"1981, Pordenone","Federica Manzon è un'autrice italiana. Collabora con l'organizzazione del festival letterario Pordenonelegge ed è redattrice di «Nuovi Argomenti». Tra i suoi titolo, Come si dice addio (Mondadori, 2008), Di fama e di sventura (Mondadori, 2011), libro finalista al premio Campiello, La nostalgia degli altri (Feltrinelli, 2017), Il bosco del confine (Aboca, 2020) e Alma (Feltrinelli, 2024)."
La filosofia di VillaBanks - VillaBanks - Libro - SEM - Neon | Feltrinelli,"Cinema, musica, tv, spettacolo",Musica,La filosofia di VillaBanks,VillaBanks,SEM,VillaBanks,"(Altri 10 da 14,21 €)","14,25 €","15,00 €",140.0,6,Italia,Tutte le offerte (11),Nuovo (11),"In questo libro, intimo, appassionato e feroce, VillaBanks ripercorre la sua storia personale trasformandola in universale, dalla quale abbiamo tutte e tutti qualcosa da imparare. Spingere! Spingere!",VillaBanks,Neon,16 gennaio 2024,"144 p., Brossura",9788893905725.0,"2000, Ravenna","All'anagrafe Vieri Igor Traxler, VillaBanks è un rapper italiano. Si è approcciato giovanissimo al mondo della musica, iniziando a suonare il sassofono all'età di sei anni per poi appassionarsi alla musica rap da adolescente. Nel 2019 debutta con l'album autopubblicato Non lo so, certificato disco d’oro nel 2023. Vanta diverse collaborazioni con artisti italiani, tra cui Madame, TY1, Briga e Alfa.Tra i suoi album, pubblicati da Virgin Records: Quanto manca (2020), El puto mundo (2021), Filtri (2021), Sex Festival (2022) e VillaBanks (2023).Nel 2024 esce per SEM il libro, La filosofia di VillaBanks.Fonte immagine: copertina libro La filosofia di VillaBanks."
Abel - Alessandro Baricco - Libro - Feltrinelli - I narratori | Feltrinelli,Narrativa italiana,Moderna e contemporanea (dopo il 1945),Abel,Alessandro Baricco,,Alessandro Baricco,"(Altri 19 da 16,15 €)","16,15 €","17,00 €",160.0,308,Italia,Tutte le offerte (20),Nuovo (20),"Dopo  La sposa giovane  , Alessandro Baricco torna al romanzo con una storia spirituale, sapienziale, che è al tempo stesso un western, un romanzo d’amore.",Alessandro Baricco,I narratori,7 novembre 2023,"160 p., Brossura",9788807035647.0,"1958, Torino","Alessandro Baricco è uno scrittore, sceneggiatore, critico musicale e conduttore radiofonico e televisivo italiano. Si laurea in Filosofia a Torino con una tesi in Estetica e studia contemporaneamente al Conservatorio dove si diploma in pianoforte. L’amore per la musica e per la letteratura ispireranno sin dagli inizi la sua attività di saggista e narratore.Come saggista esordisce con Il genio in fuga. Due saggi sul teatro musicale di Gioacchino Rossini (Il Melangolo, 1988; Einaudi, 1997). Castelli di rabbia (Rizzoli, 1991; Universale Economica Feltrinelli, 2007), suo primo romanzo, Premio Selezione Campiello e Prix Médicis Etranger, è un’autentica rivelazione nel panorama della letteratura italiana e ottiene il consenso della critica e del pubblico...."
